2025-09-07T22:02:31.8243739-03:00 [SeekPickup] AgentA pos=(562.5529, 449.9143) dist=212,65744
2025-09-07T22:02:31.8409592-03:00 [Wander] AgentA pos=(569.15985, 449.02408) dist=462,82217
2025-09-07T22:02:31.8414591-03:00 [SeekPickup] AgentA pos=(563.4142, 452.40515) dist=212,12077
2025-09-07T22:02:31.8571880-03:00 [Wander] AgentA pos=(570.0161, 451.47855) dist=462,30835
2025-09-07T22:02:31.8576158-03:00 [SeekPickup] AgentA pos=(564.2313, 454.7923) dist=211,6288
2025-09-07T22:02:31.8741457-03:00 [Wander] AgentA pos=(570.8283, 453.83078) dist=461,83743
2025-09-07T22:02:31.8746541-03:00 [SeekPickup] AgentA pos=(565.0067, 457.0794) dist=211,17807
2025-09-07T22:02:31.8939028-03:00 [Wander] AgentA pos=(571.5987, 456.08444) dist=461,40607
2025-09-07T22:02:31.8943753-03:00 [SeekPickup] AgentA pos=(565.74243, 459.27014) dist=210,76523
2025-09-07T22:02:31.9070825-03:00 [Wander] AgentA pos=(572.3295, 458.2431) dist=461,01105
2025-09-07T22:02:31.9076253-03:00 [SeekPickup] AgentA pos=(566.4406, 461.36804) dist=210,38731
2025-09-07T22:02:31.9272303-03:00 [Wander] AgentA pos=(573.0228, 460.31027) dist=460,6495
2025-09-07T22:02:31.9279107-03:00 [SeekPickup] AgentA pos=(567.1032, 463.3766) dist=210,04149
2025-09-07T22:02:31.9413736-03:00 [Wander] AgentA pos=(573.6806, 462.2894) dist=460,31866
2025-09-07T22:02:31.9418871-03:00 [SeekPickup] AgentA pos=(567.73206, 465.29922) dist=209,72505
2025-09-07T22:02:31.9602550-03:00 [Wander] AgentA pos=(574.30475, 464.18387) dist=460,01602
2025-09-07T22:02:31.9609415-03:00 [SeekPickup] AgentA pos=(568.329, 467.13928) dist=209,43565
2025-09-07T22:02:31.9742136-03:00 [Wander] AgentA pos=(574.89703, 465.99698) dist=459,73932
2025-09-07T22:02:31.9747717-03:00 [SeekPickup] AgentA pos=(568.8956, 468.90002) dist=209,17104
2025-09-07T22:02:31.9941692-03:00 [Wander] AgentA pos=(575.45917, 467.7319) dist=459,48633
2025-09-07T22:02:31.9948194-03:00 [SeekPickup] AgentA pos=(569.43365, 470.58456) dist=208,92915
2025-09-07T22:02:32.0074317-03:00 [Wander] AgentA pos=(575.99274, 469.39175) dist=459,2551
2025-09-07T22:02:32.0079871-03:00 [SeekPickup] AgentA pos=(569.9445, 472.19595) dist=208,7081
2025-09-07T22:02:32.0272425-03:00 [Wander] AgentA pos=(576.49927, 470.97955) dist=459,0438
2025-09-07T22:02:32.0277985-03:00 [SeekPickup] AgentA pos=(570.4297, 473.73718) dist=208,50612
2025-09-07T22:02:32.0413617-03:00 [Wander] AgentA pos=(576.9802, 472.4982) dist=458,8507
2025-09-07T22:02:32.0420402-03:00 [SeekPickup] AgentA pos=(570.8905, 475.21112) dist=208,32161
2025-09-07T22:02:32.0601834-03:00 [Wander] AgentA pos=(577.4369, 473.95056) dist=458,67444
